ir_L,ir_R,degree
2.5,0.0,0.08
2.9,0.0,0.07
3.5,0.0,6.05
4.2,0.0,23.7
4.7,0.0,41.67
5.3,0.0,47.34
5.6,0.0,47.82
5.6,0.0,47.73
5.5,0.0,24.76
5.1,0.0,0.12
5.3,0.0,0.06
6.3,0.0,0.02
7.2,1.6,0.02
8.4,2.6,0.04
9.4,2.3,17.36
11.1,2.7,34.78
12.5,3.2,36.99
12.2,3.8,36.95
12.5,3.7,47.24
12.7,3.8,49.04
12.7,3.9,49.12
12.3,4.3,48.98
11.9,4.0,48.96
11.5,4.1,48.94
11.0,4.0,47.03
11.0,4.1,43.59
10.5,4.3,35.39
9.8,4.3,28.12
9.2,4.4,15.09
8.7,4.2,5.3
9.1,4.1,5.33
9.2,3.3,5.28
9.6,2.6,5.29
9.9,1.8,5.31
9.3,1.2,13.26
9.0,0.2,32.04
8.4,0.0,41.08
6.5,0.0,44.15
4.5,0.0,48.43
3.4,0.0,49.05
2.2,0.0,49.06
1.6,0.0,49.04
0.7,0.0,49.03
0.4,0.0,46.02
0.2,0.0,5.71
0.1,0.0,0.03
0.2,0.0,0.03
0.6,0.0,0.04
0.9,0.0,0.07
1.1,0.0,0.03
1.5,0.0,0.24
2.1,0.0,0.04
2.6,0.0,0.14
3.3,0.0,0.03
4.2,0.0,0.03
4.6,2.8,0.02
5.9,3.8,0.04
7.0,5.2,0.09
8.3,6.1,0.04
10.0,7.5,0.29
11.4,8.8,0.1
13.2,9.2,24.79
15.8,9.5,33.58
15.8,9.7,37.24
15.8,10.0,37.41
15.9,9.8,35.54
16.5,10.0,11.4
17.6,10.0,11.54
19.2,9.8,18.11
21.8,9.6,32.61
24.2,9.3,39.91
24.5,8.5,45.59
25.2,8.2,49.2
25.3,7.6,51.31
25.6,7.2,51.43
25.6,6.9,51.6
25.2,6.6,61.83
24.0,6.7,62.04
22.8,7.3,62.14
22.5,8.2,62.16
21.1,8.8,62.11
20.4,9.4,55.19
20.1,9.7,37.64
20.1,9.9,37.0
20.4,10.3,37.12
21.2,10.3,39.39
21.9,10.2,48.45
22.1,10.5,50.16
21.1,10.8,50.17
21.0,11.1,50.25
20.4,11.1,50.18
19.6,11.1,50.17
19.3,11.5,50.17
18.8,11.4,34.88
18.5,11.8,34.8
18.2,11.8,34.72
18.2,11.5,34.68
17.9,11.3,34.7
17.8,11.6,34.99
17.4,11.5,37.56
17.0,11.7,43.94
16.5,11.6,43.91
15.7,11.7,44.02
15.5,12.1,44.0
15.3,12.0,43.97
15.1,12.2,43.91
14.9,12.1,43.27
14.0,12.2,42.83
12.5,12.4,38.92
8.9,12.4,38.78
5.0,12.5,38.79
2.7,12.6,38.71
0.6,12.7,29.77
0.1,12.6,22.91
0.0,12.1,16.95
0.0,11.2,17.0
0.0,9.6,16.95
0.0,8.8,8.22
0.0,6.9,1.01
0.1,4.5,0.06
0.2,3.4,0.03
0.5,1.4,0.21
0.8,0.1,0.11
1.3,0.0,0.03
1.7,0.0,0.09
2.4,0.0,0.02
3.0,0.0,0.12
3.3,0.0,0.07
3.4,0.0,16.79
3.5,0.0,20.07
3.6,0.0,20.19
3.5,0.0,20.11
3.1,0.0,17.89
3.0,0.0,0.43
3.1,0.0,0.04
3.0,0.0,0.02
2.9,0.0,0.06
2.9,0.0,0.03
3.0,0.0,0.06
3.7,0.0,0.12
4.1,0.6,0.04
5.1,1.0,0.03
6.2,2.0,0.04
7.1,2.7,0.09
8.6,3.1,0.12
9.4,3.5,1.74
11.3,3.4,24.11
13.1,2.8,32.4
14.0,2.7,36.97
14.7,3.0,36.96
15.3,3.3,46.05
15.8,3.8,55.74
15.3,3.9,55.71
15.3,3.6,55.68
14.0,3.5,55.72
13.1,3.2,54.96
12.7,2.8,50.1
11.9,2.4,50.12
11.5,1.6,46.67
11.1,0.8,37.02
11.0,0.0,37.0
10.6,0.0,37.14
9.5,0.0,16.19
8.1,0.0,12.82
7.5,0.0,12.73
6.2,0.2,12.79
5.5,0.3,12.78
4.8,0.0,12.83
4.0,0.0,12.76
3.6,0.8,12.73
3.1,1.4,12.72
2.9,1.2,23.58
3.0,0.3,29.52
2.6,0.0,29.19
2.0,0.0,29.03
1.7,0.0,28.98
1.3,0.0,29.07
1.0,0.0,29.04
0.8,0.0,29.07
0.6,0.0,17.1
0.6,0.0,0.08
0.5,0.0,0.04
0.6,0.0,0.03
0.5,0.0,0.08
0.6,0.0,0.03
0.6,0.0,0.17
0.6,0.0,0.04
0.6,0.0,0.03
0.6,0.0,0.14
0.5,0.0,0.03
0.6,0.0,0.09
0.7,0.0,0.05
0.7,0.0,0.03
0.8,0.0,0.04
1.0,0.7,0.03
1.4,2.7,0.02
1.3,5.0,0.06
1.6,6.5,0.02
2.0,9.6,0.05
2.1,12.0,0.03
2.3,14.0,0.17
2.6,17.7,0.03
3.2,20.6,0.04
3.7,22.8,0.1
4.3,24.4,0.03
5.1,25.4,0.11
6.2,25.1,0.04
6.9,24.7,8.92
7.9,23.4,18.17
9.0,22.5,19.68
9.2,20.1,20.04
10.2,14.5,28.0
10.5,8.3,31.67
10.9,10.2,31.78
11.4,11.8,40.13
11.8,12.3,42.77
11.8,12.4,42.77
11.8,12.8,42.76
11.7,13.8,42.77
11.2,14.2,42.83
10.9,14.6,42.81
11.0,14.7,42.79
10.6,16.0,42.74
10.7,16.2,42.68
10.3,15.1,42.64
9.8,14.6,42.66
9.7,14.1,42.66
9.5,13.9,42.62
9.2,14.1,42.65
8.9,14.5,42.62
8.7,14.7,42.66
8.6,15.3,42.66
8.4,14.8,33.56
8.3,14.8,21.17
8.2,14.5,20.71
8.6,13.8,20.72
9.1,12.8,20.64
9.2,11.4,20.7
9.8,10.1,20.76
10.2,8.2,20.71
10.5,7.3,20.69
10.8,6.4,21.0
10.4,4.5,43.68
9.5,3.9,50.7
5.8,3.7,50.67
3.9,3.5,66.67
1.0,3.7,76.19
0.1,4.5,76.7
0.0,5.1,76.71
0.0,6.5,82.29
0.0,7.6,89.77
0.0,8.0,89.75
0.0,9.1,78.02
0.0,10.1,41.9
0.0,10.5,28.12
0.0,10.4,27.29
0.0,10.2,27.25
0.0,10.2,5.22
0.0,9.5,0.04
0.0,9.0,0.09
0.0,7.3,0.06
0.0,5.0,0.02
0.0,3.1,0.03
0.0,0.5,0.02
0.0,0.0,0.22
0.0,0.0,0.03
0.0,0.0,0.03
0.0,0.0,0.03
0.0,0.0,0.02
0.0,0.0,0.08
0.0,0.0,0.02
0.0,0.0,0.05
0.0,1.2,0.1
0.1,3.4,0.02
0.2,5.8,0.12
0.4,6.9,0.03
0.7,10.1,0.03
0.8,11.6,0.06
1.2,12.6,0.03
1.4,12.5,2.25
1.5,15.1,32.37
1.8,12.2,39.83
1.9,7.8,39.97
2.0,7.0,39.92
2.1,8.3,39.9
2.1,12.6,18.86
2.1,16.4,4.06
2.4,22.4,1.21
2.6,21.7,0.03
2.9,19.6,0.14
3.3,15.0,0.04
3.8,17.6,0.06
4.1,19.5,0.03
4.0,17.5,13.91
4.3,14.7,30.33
4.6,12.2,30.93
4.8,10.8,31.42
5.1,10.2,47.22
5.3,9.1,56.74
5.4,9.3,56.73
5.5,9.1,56.73
5.8,9.2,56.52
5.9,9.1,56.41
5.9,8.9,56.34
5.9,8.7,56.2
6.0,8.7,55.81
6.1,8.8,39.78
6.1,8.5,39.51
6.2,8.2,39.75
6.2,8.0,39.73
6.3,8.0,39.75
5.8,7.8,39.76
5.4,7.7,39.79
4.6,7.5,39.82
4.0,7.2,39.79
2.8,7.1,39.82
2.0,6.6,32.89
1.4,6.3,31.76
0.9,5.7,31.8
0.5,4.9,31.8
0.4,4.4,31.07
0.2,4.0,13.25
0.1,2.8,2.93
0.3,1.4,0.04
0.6,0.4,0.03
1.0,0.0,0.04
1.5,0.0,0.04
2.2,0.0,0.15
2.9,0.0,0.02
3.7,0.0,0.02
4.2,0.0,0.07
5.2,0.0,0.04
6.9,0.0,0.03
8.0,1.2,0.18
10.2,3.9,0.04
12.0,5.8,0.03
13.2,6.2,8.12
15.7,6.6,29.04
17.8,7.2,36.89
18.8,7.7,36.79
18.7,7.9,47.81
19.0,8.2,57.71
18.4,8.4,57.66
17.8,8.7,57.7
17.0,9.1,57.71
15.9,9.3,57.14
15.3,9.7,57.08
15.4,10.1,57.13
14.8,10.0,55.83
14.1,10.5,48.61
12.8,10.6,48.57
12.2,11.1,46.73
11.7,11.4,44.3
11.1,11.8,39.4
10.8,12.2,32.34
10.7,12.5,22.0
11.2,12.7,21.95
12.0,13.3,20.93
12.6,12.9,20.75
13.8,12.6,21.05
14.3,13.3,25.32
15.6,13.0,42.01
17.3,12.3,44.63
17.2,11.9,46.33
16.6,11.5,46.27
15.9,11.0,46.03
15.4,10.4,29.24
15.2,9.9,29.0
15.6,10.8,28.79
16.5,11.8,36.01
17.7,12.6,43.04
17.8,12.8,43.47
17.9,13.1,43.39
17.6,13.2,43.37
17.3,13.6,43.45
17.2,13.6,43.36
17.1,13.8,43.13
17.0,14.0,37.59
16.9,14.1,35.04
16.8,14.0,34.94
16.5,14.0,34.97
16.7,14.0,34.92
16.5,14.3,35.02
16.4,14.1,35.01
16.0,13.9,35.06
15.7,14.0,35.09
15.8,13.5,35.09
15.6,13.5,35.12
15.6,13.3,35.05
15.5,13.2,35.03
15.3,13.2,35.09
15.5,13.0,35.08
15.8,12.4,35.16
16.4,12.3,35.05
16.8,11.7,35.03
16.9,11.4,35.07
16.9,11.1,42.13
17.2,10.9,48.86
15.3,10.9,54.02
10.4,10.5,57.29
6.4,10.7,57.45
2.5,10.6,57.49
0.8,10.7,57.45
0.2,10.4,53.5
0.0,10.6,49.16
0.0,10.3,49.18
0.0,10.5,48.99
0.0,10.2,46.67
0.0,10.4,42.04
0.0,10.5,26.13
0.0,10.3,17.91
0.0,9.4,11.22
0.0,8.5,3.12
0.0,6.7,0.1
0.0,4.4,0.12
0.0,2.9,0.04
0.0,0.6,0.03
0.0,0.0,0.17
0.1,0.0,0.1
0.3,0.0,0.04
0.7,0.0,0.2
1.1,0.0,0.04
1.4,0.0,0.05
1.8,0.0,0.05
2.2,0.0,6.99
2.9,0.0,14.15
3.4,0.1,19.34
3.6,0.9,21.82
4.0,1.4,28.75
4.3,1.9,28.64
4.4,2.5,28.58
4.6,2.8,19.82
4.6,3.5,4.2
5.0,3.7,0.67
5.7,4.4,0.55
6.7,4.9,0.04
7.9,5.2,5.67
8.9,5.3,20.37
10.4,4.1,33.03
