ir_L,ir_R,degree
15.9,22.2,30.7
16.9,22.7,30.8
17.6,22.4,32.82
18.3,22.3,33.77
18.3,21.6,33.72
18.8,21.2,33.79
19.3,19.2,33.81
20.1,17.4,33.75
20.5,15.3,33.89
21.0,14.8,43.1
21.5,16.0,58.27
19.9,17.0,58.7
17.6,17.6,58.64
13.5,17.6,58.61
11.3,17.2,58.62
7.5,16.6,58.59
5.7,16.4,58.63
3.8,16.7,58.56
3.0,17.1,58.6
2.7,17.9,58.54
2.6,18.5,58.64
2.8,19.2,58.57
2.7,19.3,58.57
2.5,20.0,57.89
2.4,20.4,48.44
2.5,20.7,30.19
2.5,20.7,20.33
2.4,20.0,0.55
2.4,19.0,0.04
2.4,15.5,0.06
2.5,13.2,0.04
2.8,9.9,0.19
3.1,8.1,0.12
3.4,6.0,0.04
4.3,5.5,0.13
4.8,4.4,0.03
6.0,3.9,7.3
6.9,4.6,25.88
8.4,6.2,26.04
9.1,7.7,26.02
10.2,9.1,26.03
11.0,9.7,26.06
12.9,10.6,26.09
14.3,11.0,26.1
16.4,11.6,25.99
18.2,11.9,33.28
17.5,12.3,34.88
12.5,12.6,34.79
11.3,12.8,40.83
12.2,13.2,42.36
12.3,13.5,42.33
14.4,13.7,42.31
18.4,13.8,42.27
24.4,14.1,42.36
24.8,14.4,42.35
19.9,14.4,42.39
15.4,14.6,42.32
12.7,14.7,42.3
13.1,14.9,42.35
15.1,15.2,42.34
18.7,15.2,42.32
25.3,15.5,42.3
25.2,15.6,42.4
22.7,15.8,42.3
25.1,15.8,42.3
29.9,15.9,42.34
36.8,16.0,42.31
38.6,16.2,42.28
38.9,16.3,42.33
37.6,16.6,42.16
36.2,16.5,39.6
35.1,16.5,36.4
34.7,16.1,35.81
35.4,12.9,33.33
36.4,9.8,33.23
37.6,7.6,33.37
38.1,8.7,33.51
39.4,12.2,33.53
40.8,13.9,33.77
41.7,14.8,33.85
43.9,15.4,36.54
44.0,15.6,39.02
46.3,15.6,39.17
47.0,15.1,39.09
48.1,14.0,39.11
48.5,13.4,39.07
48.7,12.6,39.65
48.5,12.4,40.44
46.5,12.7,40.4
43.1,12.9,40.34
41.9,13.4,41.69
41.9,13.9,44.06
42.3,14.4,50.37
41.0,14.7,55.63
40.6,15.2,55.7
39.6,15.6,55.77
37.9,15.9,55.69
38.5,15.9,55.7
38.9,15.6,55.69
39.7,15.3,55.79
40.1,14.8,55.73
33.3,14.7,55.71
25.6,14.4,55.79
12.0,13.8,55.7
7.4,13.7,55.66
4.8,14.2,55.74
4.2,15.2,55.69
3.8,14.6,55.68
3.7,14.0,55.59
3.5,14.3,55.59
3.4,14.6,55.63
3.4,14.0,55.73
3.3,14.6,59.49
3.2,14.1,59.74
3.1,14.0,59.67
3.0,14.4,59.69
3.0,14.7,59.72
3.0,14.5,59.57
2.9,13.4,59.29
2.8,12.9,54.52
2.7,12.8,43.46
2.8,13.0,17.31
2.8,12.9,10.18
2.8,12.2,9.35
2.9,10.3,9.38
2.8,8.9,9.39
2.9,6.3,9.4
3.0,4.8,9.42
3.6,3.6,9.4
3.8,3.6,9.59
4.5,3.8,17.82
5.7,3.7,20.12
6.4,3.9,29.51
7.3,4.1,34.98
7.5,4.6,35.13
7.6,4.9,35.05
7.8,5.1,35.03
7.9,5.1,35.08
7.9,5.3,34.91
8.1,5.6,29.73
8.3,6.0,18.62
8.9,6.4,15.3
9.6,7.0,13.06
11.4,6.6,13.05
12.7,5.4,13.1
15.1,5.2,13.14
17.3,4.7,21.65
21.6,8.1,32.44
24.7,9.8,34.14
23.2,10.1,34.84
24.8,9.9,34.85
25.7,9.7,34.9
24.7,9.7,34.82
26.2,10.2,34.84
26.6,10.7,34.94
28.3,11.1,36.69
29.1,10.9,43.88
28.6,10.9,48.14
29.0,11.0,48.16
29.5,11.0,48.18
29.6,10.9,48.2
29.3,11.0,48.23
28.6,11.0,48.21
28.9,11.1,48.17
28.0,11.0,48.15
29.0,11.0,48.15
39.4,10.9,48.12
35.9,11.0,48.19
44.9,11.0,48.12
23.0,11.0,48.12
13.5,11.0,48.14
9.8,11.1,48.13
5.6,11.1,48.12
4.3,11.2,48.13
3.7,11.2,48.16
3.4,11.0,48.24
2.8,11.1,48.14
2.6,11.3,48.11
2.7,11.4,47.95
2.8,11.5,47.9
3.0,12.0,47.87
2.5,12.5,45.26
2.5,12.7,42.21
2.6,13.0,40.14
2.7,13.2,35.99
2.9,12.9,32.93
2.4,12.9,22.38
2.4,12.8,12.61
2.6,12.2,0.27
2.7,11.4,0.05
2.9,8.9,0.03
2.8,7.0,0.09
3.1,6.1,0.07
3.7,4.8,0.07
4.1,4.1,0.04
4.3,4.4,0.04
5.4,5.9,0.12
6.4,10.4,0.12
7.9,12.3,0.17
9.9,14.5,0.07
12.4,15.4,0.14
13.8,16.4,13.8
13.6,16.7,24.47
13.4,16.8,32.52
15.5,16.6,38.47
17.0,16.7,41.6
21.3,16.7,43.74
25.7,16.9,46.4
31.6,16.9,48.24
33.2,17.1,48.27
23.2,17.2,46.48
17.2,17.4,46.37
14.2,17.3,43.56
15.7,17.4,39.88
20.3,17.4,38.65
24.6,17.4,37.59
32.1,17.4,37.59
31.7,17.3,37.73
26.9,17.4,37.57
27.2,17.5,37.54
33.1,17.1,37.59
44.1,16.8,37.65
48.8,15.6,39.02
52.9,14.6,47.78
53.9,13.5,48.12
54.0,13.1,48.06
53.4,13.3,48.03
54.7,13.6,48.07
54.8,14.3,48.03
55.7,14.6,48.01
56.1,15.0,48.07
56.3,15.2,48.0
56.6,15.2,48.07
57.0,15.3,48.09
57.6,15.4,48.03
57.2,15.6,47.97
57.2,15.6,47.82
56.1,15.7,47.8
55.3,15.9,46.46
55.0,15.9,44.74
53.7,15.9,44.72
54.6,16.2,42.1
54.1,16.3,39.41
53.6,16.4,35.27
52.5,16.4,33.8
53.4,16.2,33.17
53.5,16.0,33.16
52.3,15.6,40.7
50.9,15.3,42.68
49.3,15.4,48.03
46.7,15.5,49.09
46.9,15.7,49.02
45.3,15.6,48.99
44.8,15.7,48.65
42.1,15.7,48.65
41.0,15.8,48.64
44.5,16.5,48.61
46.3,17.5,48.64
48.6,17.8,48.59
50.1,18.0,48.59
45.9,18.2,48.53
35.3,18.1,44.99
18.3,17.9,44.98
10.3,18.0,42.93
6.8,17.8,40.42
5.0,17.6,40.36
4.5,19.0,36.02
4.1,17.2,33.31
4.0,16.3,33.09
3.7,14.6,33.05
3.6,13.9,33.08
3.5,13.7,33.09
3.4,13.3,33.1
3.3,13.1,33.09
3.2,12.5,33.12
3.2,12.1,33.09
3.2,11.5,33.16
3.1,11.1,33.06
3.2,10.5,32.45
3.2,9.7,28.87
3.0,8.9,27.34
3.0,7.1,23.01
3.0,6.2,23.05
3.1,5.2,22.28
3.0,4.7,12.71
3.0,4.3,11.07
3.3,4.6,5.45
3.7,4.4,2.7
4.4,3.9,2.78
5.1,4.3,2.64
6.1,5.2,0.17
6.9,6.8,0.02
8.0,7.9,0.09
9.0,9.6,0.03
10.2,10.5,0.03
11.3,11.6,0.04
14.2,11.8,0.04
17.0,12.1,11.94
33.0,10.8,27.27
25.9,9.1,27.22
23.6,9.8,30.71
25.7,10.6,37.35
29.6,11.0,37.36
33.6,10.9,44.21
40.8,10.6,48.66
44.3,10.6,54.71
46.3,10.3,55.92
46.5,10.0,55.93
46.3,9.7,59.48
46.6,9.4,60.97
46.2,9.2,65.8
46.1,9.1,67.52
45.0,9.1,67.39
41.0,8.8,67.24
39.1,8.6,54.63
36.1,8.4,48.65
34.8,8.1,48.54
34.2,8.0,48.65
30.9,8.2,48.59
23.2,8.4,48.6
18.7,8.9,48.62
12.3,9.2,48.6
9.3,9.3,48.58
5.7,9.3,48.67
4.6,9.3,48.56
3.7,9.0,48.56
3.4,8.9,48.62
3.2,8.9,48.48
3.0,9.0,48.55
2.9,9.2,48.48
2.9,9.5,48.48
2.9,9.9,46.44
2.8,10.2,46.44
2.7,10.5,39.72
2.7,10.8,39.56
2.7,11.2,36.99
2.7,11.2,33.31
2.6,11.3,26.14
2.6,11.2,24.37
2.6,10.8,21.96
2.6,10.3,21.25
2.6,9.6,21.27
2.6,9.1,18.62
2.5,8.2,7.84
2.6,7.4,3.72
2.9,6.4,0.1
3.5,5.4,0.18
3.7,4.6,0.15
4.5,3.8,0.03
5.0,4.5,0.16
5.7,7.1,0.03
6.2,8.8,0.07
6.8,11.6,3.28
8.1,13.0,13.54
9.2,14.3,17.69
12.0,14.7,20.33
14.6,15.4,26.37
20.0,15.5,27.88
22.7,15.8,30.48
21.2,15.7,30.41
17.7,15.7,30.4
16.0,15.6,30.39
16.3,15.5,30.39
17.9,15.2,30.34
20.9,14.5,32.08
30.0,14.1,39.41
38.6,13.7,48.81
39.9,13.5,53.68
34.4,13.1,59.82
34.6,12.8,62.95
47.2,12.3,66.85
56.1,11.8,66.83
55.6,11.3,66.58
51.5,10.3,66.61
49.6,9.2,62.81
48.7,7.9,59.03
47.6,7.3,57.4
46.6,7.2,57.41
47.0,7.6,57.43
46.8,8.9,57.47
44.5,9.9,57.45
44.3,11.5,57.51
43.2,12.5,57.51
42.7,13.6,57.54
41.3,14.0,57.55
40.3,14.7,57.5
38.9,15.1,57.6
38.8,15.5,57.53
36.6,15.7,57.57
35.3,16.2,57.49
32.2,16.4,57.49
30.0,16.5,54.03
27.5,16.6,49.09
26.8,16.4,47.27
26.7,15.7,47.26
26.3,15.3,47.32
25.7,14.8,47.27
25.0,14.6,47.29
23.7,14.5,47.37
23.0,14.6,47.26
22.5,15.3,45.59
22.0,15.9,43.14
21.3,17.4,39.05
19.1,18.3,31.19
15.9,20.0,25.1
12.1,21.0,25.04
10.0,23.0,25.16
7.3,22.7,25.13
6.0,19.4,26.13
4.7,17.2,26.16
4.1,17.7,30.44
3.7,17.0,34.61
3.5,15.9,42.15
3.3,16.4,42.31
3.2,16.2,42.24
3.1,15.9,42.24
3.1,15.7,42.25
3.1,16.4,42.15
3.0,16.0,42.1
3.0,16.6,42.08
2.9,16.0,42.11
2.9,14.1,39.81
2.9,13.8,39.75
2.8,13.6,38.51
2.8,13.6,36.44
2.8,13.2,35.31
2.8,13.0,32.95
2.8,12.5,25.63
2.7,12.2,19.81
2.7,11.3,16.44
2.7,10.3,15.59
2.8,8.4,14.24
2.8,6.5,14.21
2.7,4.4,14.3
2.8,3.9,14.25
2.9,3.9,14.31
3.2,4.1,14.28
3.4,4.1,14.22
4.1,3.9,14.16
4.5,4.0,5.96
5.4,4.9,2.45
5.9,5.6,2.51
6.8,6.3,2.51
7.5,6.9,2.5
8.6,8.3,2.51
10.6,8.1,2.65
11.9,6.0,13.38
15.0,5.5,28.98
17.3,5.3,40.1
18.1,6.4,45.98
18.5,7.7,47.57
18.7,8.5,47.61
19.6,9.6,45.19
18.3,10.4,40.04
18.7,11.3,35.81
18.3,11.7,33.22
17.6,12.2,32.77
17.8,12.3,32.64
18.0,12.2,32.97
18.3,12.0,36.05
18.6,12.0,38.9
19.0,12.8,38.82
18.9,13.4,38.88
19.3,13.9,38.87
19.3,13.9,38.9
19.4,14.2,38.77
19.4,14.3,38.8
19.2,14.3,38.78
19.0,14.5,38.72
18.7,14.6,38.7
17.9,14.7,38.77
17.4,14.8,35.31
17.9,14.9,35.2
17.3,14.8,35.23
26.3,14.7,35.16
10.3,14.7,35.24
6.9,14.6,35.18
5.6,14.6,33.16
4.1,14.5,33.26
3.6,14.4,33.1
3.1,14.3,33.14
2.9,14.2,32.69
2.7,14.3,32.35
2.7,14.9,28.45
2.7,16.1,28.19
2.5,16.1,28.15
2.5,15.4,28.19
2.5,14.7,28.18
2.6,13.6,28.13
2.6,13.1,19.64
2.5,12.3,4.97
2.6,11.4,0.19
2.7,8.7,0.13
2.8,8.0,0.03
2.9,6.5,0.05
3.4,5.6,0.03
3.9,4.5,0.05
4.6,4.1,0.03
5.3,5.5,0.05
6.1,6.8,0.14
6.9,11.3,0.05
7.9,12.8,0.03
8.2,15.2,5.75
10.0,16.1,6.0
11.1,17.1,10.66
13.3,18.3,12.35
13.9,18.9,27.79
15.1,18.6,42.11
14.7,18.3,49.62
14.2,18.7,60.32
15.8,19.0,62.48
21.8,19.5,62.23
23.8,19.8,55.99
21.7,20.5,48.5
15.6,20.8,46.1
11.9,21.1,46.06
11.0,21.3,46.13
12.6,21.8,41.25
16.5,22.1,37.62
18.7,22.5,33.05
20.7,22.5,32.29
21.0,22.4,30.97
21.1,22.4,33.45
23.4,22.1,38.62
28.8,22.1,38.62
31.9,22.1,38.69
