ir_L,ir_R,degree
2.8,11.4,32.84
2.7,10.8,32.79
2.8,9.9,32.67
2.7,9.3,32.54
2.8,8.0,32.66
2.8,6.9,32.57
2.6,5.6,32.58
2.6,5.1,32.63
2.7,4.7,32.63
2.7,4.3,32.6
2.6,3.9,32.61
2.6,4.1,32.65
2.6,4.5,32.69
2.6,4.7,32.4
2.7,4.6,23.94
2.7,4.4,23.89
2.6,4.3,23.94
2.7,4.2,17.53
2.9,4.6,12.77
3.4,6.5,12.86
3.7,7.5,13.02
4.6,9.0,12.9
5.2,10.4,19.36
6.2,12.3,25.95
6.8,11.3,31.09
7.0,8.3,34.46
7.3,7.3,39.11
7.6,6.7,39.16
7.8,6.8,39.12
7.9,6.8,39.12
7.7,6.6,39.0
7.8,6.6,27.71
7.9,7.9,23.7
8.5,20.1,23.36
9.4,23.8,23.4
9.3,24.8,24.13
10.3,25.3,34.14
11.1,22.8,34.77
11.5,22.9,37.91
11.7,26.2,40.33
11.4,26.9,43.07
11.4,27.9,43.05
11.3,28.7,43.11
11.3,28.9,46.24
11.3,28.9,46.25
10.5,29.5,46.3
10.0,30.0,46.24
9.6,29.9,42.14
9.0,30.5,35.4
9.3,31.3,29.13
7.6,31.1,26.05
7.5,31.0,23.32
8.5,29.9,19.7
8.1,28.7,18.89
8.3,26.2,18.89
9.1,24.7,18.84
9.5,22.1,18.87
10.3,20.0,18.86
11.0,18.1,18.85
11.9,15.7,18.88
11.8,12.8,21.67
11.6,11.4,29.54
11.8,10.0,32.22
11.0,9.1,32.21
10.1,8.3,32.2
9.7,8.0,32.2
8.4,7.8,32.21
8.3,6.9,32.26
8.6,6.4,32.1
8.3,5.9,32.13
7.3,5.7,31.28
6.9,5.5,29.37
6.1,5.1,28.49
5.5,4.6,28.51
5.1,4.4,28.52
5.1,4.1,28.51
5.4,4.3,28.43
5.8,5.3,28.5
5.9,5.7,28.46
5.9,6.7,28.48
6.1,8.2,28.54
6.4,10.8,28.51
6.3,12.1,28.56
6.1,14.4,26.6
6.0,15.9,13.06
6.1,18.1,11.2
6.7,19.5,11.18
7.0,21.5,11.13
7.7,22.3,11.15
8.0,23.9,11.33
9.3,24.3,16.93
11.3,23.8,25.98
15.4,23.2,28.93
18.4,23.7,28.81
23.0,23.4,29.09
24.2,23.3,39.35
23.7,22.6,40.93
20.1,22.0,40.88
16.4,21.9,40.87
15.9,22.1,40.86
17.8,21.9,40.94
21.8,21.6,40.89
25.3,21.7,40.88
28.0,21.7,40.89
27.0,21.5,40.84
26.1,21.2,40.93
28.1,20.5,40.98
36.0,19.8,40.93
40.5,17.9,40.88
42.3,16.7,40.9
42.8,15.9,40.96
43.4,16.3,40.89
43.7,17.3,40.94
44.8,18.1,40.96
44.7,18.3,40.84
45.7,18.5,40.84
46.9,18.4,40.9
48.0,18.3,45.6
48.2,18.3,48.58
48.9,18.4,48.6
49.2,18.4,48.6
49.0,18.3,48.63
49.1,18.4,50.72
49.2,18.5,54.92
48.9,18.5,55.96
48.8,18.6,55.92
49.2,18.6,55.89
49.0,18.7,55.91
48.5,18.7,55.86
48.5,18.5,55.88
49.0,18.2,55.86
46.9,18.1,55.87
44.4,18.2,55.87
42.0,18.1,55.91
40.1,18.1,55.88
39.5,18.2,55.85
38.7,18.4,55.92
37.7,18.6,55.83
36.9,18.6,55.85
36.4,18.5,55.84
35.9,18.6,55.85
36.1,18.8,55.83
37.7,21.0,55.85
39.5,21.0,55.89
40.3,21.4,55.9
39.6,21.3,55.9
33.4,21.4,55.89
22.2,21.3,55.95
14.4,21.3,59.4
7.4,20.8,59.84
5.2,20.8,59.84
3.9,21.2,59.83
3.7,22.0,59.88
3.5,20.5,59.66
3.5,20.5,54.3
3.4,19.0,49.87
3.1,18.7,49.77
3.1,18.6,49.77
3.1,18.4,49.8
3.1,18.4,49.86
3.0,18.5,49.84
2.8,18.5,49.84
2.8,18.5,49.92
3.0,18.4,45.9
2.9,18.3,45.82
2.7,18.2,45.8
2.7,18.3,45.74
2.8,18.2,42.81
2.8,18.0,42.82
2.8,18.0,37.69
2.7,18.0,36.53
2.7,17.5,26.74
2.7,16.8,14.79
2.8,12.8,2.22
2.9,9.0,0.04
2.6,6.3,0.05
2.7,5.1,0.07
2.9,6.0,0.03
2.9,6.2,0.15
3.1,5.2,0.12
3.5,4.6,0.05
4.0,5.5,0.04
4.8,7.6,0.06
5.4,9.2,0.27
6.1,11.7,3.55
6.2,13.2,5.73
6.7,15.3,7.26
7.2,17.2,17.6
7.6,18.9,19.22
8.3,19.7,25.64
8.7,20.5,31.97
9.8,20.9,35.37
11.3,21.3,38.02
12.4,21.8,38.49
12.7,22.4,38.49
13.5,22.7,40.38
13.9,22.6,40.41
14.1,22.0,38.16
14.1,19.9,20.44
14.4,17.7,20.24
15.2,21.3,30.55
16.3,24.2,33.02
17.0,24.7,33.0
17.9,24.7,32.94
18.1,24.7,33.15
18.9,23.9,33.13
19.3,23.1,40.97
20.0,21.8,46.66
19.5,21.8,51.68
19.4,20.9,51.68
19.1,20.0,51.69
18.6,18.9,51.7
17.8,18.2,51.8
16.6,17.6,51.72
14.4,17.7,51.71
12.6,18.6,51.68
9.6,19.6,51.67
7.6,21.4,51.63
5.3,22.4,51.59
4.4,22.1,51.38
3.4,21.5,50.1
2.9,20.9,44.37
2.6,21.2,40.13
2.6,21.7,37.75
2.5,22.3,33.71
2.6,22.4,32.32
2.6,22.4,31.39
2.4,22.3,30.12
2.4,21.6,30.24
2.5,20.7,30.16
2.5,19.6,30.14
2.3,19.1,30.1
2.4,17.7,19.88
2.4,16.6,10.3
2.5,14.0,5.05
2.6,12.0,3.15
2.6,9.3,2.08
2.9,8.2,2.1
3.1,6.7,2.07
3.7,5.8,2.14
3.8,4.9,2.14
4.6,4.4,2.26
5.2,4.8,2.71
6.3,5.7,2.66
6.9,8.6,10.59
8.2,10.2,14.03
9.2,11.6,18.71
10.7,13.0,18.67
12.2,13.6,18.69
16.1,14.3,18.71
18.3,14.7,22.82
21.4,15.1,32.86
20.0,15.3,41.4
16.6,15.5,42.48
14.3,15.8,42.5
14.4,15.9,42.37
14.2,16.2,42.43
15.2,16.4,42.54
20.4,16.4,42.57
24.9,16.6,42.55
25.5,16.8,42.47
21.7,17.1,42.47
16.0,17.2,42.47
14.7,17.3,42.45
15.0,17.4,42.56
16.5,17.6,42.56
22.3,17.7,42.45
26.7,17.8,42.54
27.4,17.6,42.46
24.8,17.6,42.54
27.1,17.7,42.44
32.6,17.6,42.45
40.0,17.7,42.42
42.0,17.7,42.45
43.7,17.5,42.43
43.5,17.0,42.47
42.9,14.9,42.45
42.2,12.8,42.41
42.9,9.1,42.43
43.7,7.9,42.48
44.6,8.4,42.43
44.8,9.5,42.41
45.1,11.7,42.45
46.0,13.0,42.44
46.7,14.1,42.44
47.3,14.5,42.49
47.9,14.7,58.39
49.0,14.8,64.48
47.6,15.0,65.33
47.9,15.2,76.3
47.0,14.8,76.99
42.7,14.7,76.92
36.5,15.0,74.96
27.4,15.2,65.74
26.0,15.1,54.45
25.3,14.6,52.19
24.0,14.4,47.14
23.6,14.6,47.05
22.7,14.9,43.13
22.7,16.4,41.41
22.7,17.4,37.58
21.6,18.9,27.22
19.1,19.9,21.77
18.4,22.0,21.63
18.5,20.9,21.79
17.5,17.0,31.47
14.2,15.1,43.16
9.9,16.0,43.74
5.6,15.9,43.72
4.4,15.7,43.77
3.7,15.7,43.73
3.3,15.6,43.69
3.2,15.3,43.72
3.2,16.8,43.76
3.1,16.0,43.72
3.1,15.3,43.71
3.1,15.9,43.71
3.0,16.5,43.75
3.0,16.2,43.72
2.9,14.7,43.63
2.8,13.7,43.03
2.8,13.8,42.64
2.8,13.7,39.59
2.8,13.7,36.57
2.8,13.2,30.5
2.7,12.8,30.13
2.7,11.9,30.13
2.7,11.2,30.24
2.8,10.1,30.14
2.8,9.3,30.14
2.7,8.3,30.24
2.7,7.4,30.12
2.7,6.4,30.17
2.7,5.1,27.53
2.6,4.6,24.06
2.6,4.1,24.09
2.6,4.0,24.09
2.6,4.2,24.07
2.8,4.4,24.06
2.7,4.5,24.09
2.8,4.3,18.66
3.0,4.1,16.55
3.3,4.3,16.23
3.4,5.4,16.22
3.9,6.3,15.82
4.2,7.3,14.19
4.9,8.0,11.27
5.7,9.8,9.32
6.8,10.7,9.28
7.7,8.7,9.28
9.1,6.9,9.3
10.4,6.4,9.28
12.3,5.7,9.36
13.7,12.2,18.34
16.0,14.8,36.14
20.0,15.4,40.03
21.0,15.3,39.86
20.2,14.8,39.94
17.4,14.1,39.87
17.2,13.9,39.94
17.6,14.3,39.83
17.9,15.0,39.87
18.1,16.2,39.81
17.8,16.7,39.85
18.1,17.0,39.84
18.1,17.1,39.83
18.3,17.1,40.02
18.6,16.8,39.8
18.4,16.9,39.8
18.3,17.0,39.8
18.5,17.0,39.82
18.4,17.0,39.8
18.4,17.0,39.83
18.4,16.9,39.84
19.1,16.7,39.83
21.6,16.7,39.82
21.6,16.5,39.8
19.8,16.3,39.82
14.1,16.0,39.78
11.6,16.0,39.83
10.1,15.9,39.87
8.0,15.6,39.82
6.5,15.4,39.84
4.7,15.3,39.83
3.6,15.4,39.81
3.0,15.7,39.8
2.9,17.0,39.87
2.9,17.5,39.8
2.8,17.4,35.63
2.5,16.8,35.54
2.5,16.0,35.53
2.7,15.1,22.85
2.7,14.2,20.25
2.4,12.6,20.21
2.5,11.6,20.27
2.7,9.6,9.26
2.8,8.5,8.61
3.2,6.8,8.66
3.8,6.0,8.59
4.0,4.8,8.8
4.8,4.3,8.68
5.4,3.9,8.64
6.3,5.2,8.64
6.9,6.3,8.62
8.1,9.6,8.77
8.8,11.2,9.15
9.8,12.8,9.31
11.1,13.9,9.13
13.0,15.2,9.15
17.1,15.8,9.12
21.2,16.5,9.36
25.5,16.6,21.48
25.9,16.4,35.82
20.7,16.1,39.7
