ir1,ir2,degree,time
10.5,3.9,3,10:36:56.753461
10.5,4.0,3,10:36:56.782117
10.5,4.0,3,10:36:56.809589
10.5,4.0,3,10:36:56.840636
10.4,3.8,3,10:36:56.871467
10.4,3.8,3,10:36:56.900706
10.5,4.0,3,10:36:56.932497
10.5,4.0,3,10:36:56.961721
10.8,4.1,3,10:36:56.993998
10.8,4.1,3,10:36:57.024388
10.9,4.1,3,10:36:57.051193
10.9,4.1,3,10:36:57.077922
10.9,4.1,3,10:36:57.105296
11.0,4.2,3,10:36:57.135762
11.0,4.2,3,10:36:57.165456
11.3,4.2,3,10:36:57.195838
11.3,4.2,3,10:36:57.224662
11.4,4.2,3,10:36:57.251503
11.4,4.2,3,10:36:57.278121
11.5,4.3,3,10:36:57.305977
11.5,4.3,3,10:36:57.335988
11.5,4.4,3,10:36:57.369388
11.8,4.4,3,10:36:57.399304
11.8,4.4,3,10:36:57.427838
11.7,4.3,3,10:36:57.457313
11.7,4.3,3,10:36:57.484193
11.7,4.4,3,10:36:57.511908
11.7,4.4,3,10:36:57.542806
12.0,4.5,3,10:36:57.575789
12.0,4.5,3,10:36:57.606234
11.8,4.4,3,10:36:57.636957
11.8,4.4,3,10:36:57.667090
11.8,4.4,3,10:36:57.698539
11.7,4.4,3,10:36:57.727231
11.7,4.4,3,10:36:57.755084
12.1,4.7,3,10:36:57.782188
12.1,4.7,3,10:36:57.809854
11.9,4.6,3,10:36:57.841367
11.9,4.6,3,10:36:57.870967
11.9,4.5,3,10:36:57.902400
11.9,4.5,3,10:36:57.930421
11.9,4.5,3,10:36:57.958572
12.1,4.8,3,10:36:57.987239
12.1,4.8,3,10:36:58.015917
12.0,4.8,3,10:36:58.043174
12.0,4.8,3,10:36:58.071130
11.9,4.7,3,10:36:58.099825
11.9,4.7,3,10:36:58.126973
11.9,4.7,3,10:36:58.154001
12.2,5.0,3,10:36:58.180993
12.2,5.0,3,10:36:58.208382
12.1,5.0,2,10:36:58.237631
12.1,5.0,2,10:36:58.267893
11.9,5.0,2,10:36:58.298738
11.9,5.0,2,10:36:58.328513
11.9,5.0,2,10:36:58.355499
11.7,5.2,2,10:36:58.383310
11.7,5.2,2,10:36:58.410581
11.4,5.6,2,10:36:58.440844
11.4,5.6,2,10:36:58.471468
9.6,5.9,2,10:36:58.501248
9.6,5.9,2,10:36:58.530096
6.9,6.3,3,10:36:58.559409
6.9,6.3,3,10:36:58.587881
6.9,6.3,3,10:36:58.615023
4.3,6.8,3,10:36:58.649030
4.3,6.8,4,10:36:58.679779
3.4,6.9,4,10:36:58.714036
3.4,6.9,4,10:36:58.742145
3.1,7.1,4,10:36:58.770647
3.1,7.1,4,10:36:58.797824
3.1,7.2,4,10:36:58.825697
3.1,7.2,4,10:36:58.855702
3.1,7.2,4,10:36:58.885902
3.1,7.2,4,10:36:58.915757
3.1,7.2,4,10:36:58.945206
3.2,7.3,4,10:36:58.977412
3.2,7.3,4,10:36:59.008300
3.5,7.4,4,10:36:59.035761
3.5,7.4,4,10:36:59.062923
3.6,7.2,4,10:36:59.090749
3.6,7.2,4,10:36:59.117559
3.6,7.2,4,10:36:59.144528
3.8,7.3,4,10:36:59.172846
3.8,7.3,4,10:36:59.199583
4.2,7.2,4,10:36:59.227108
4.2,7.2,4,10:36:59.253719
4.2,6.9,5,10:36:59.282967
4.3,6.9,5,10:36:59.309590
4.3,6.9,5,10:36:59.340012
4.5,6.6,5,10:36:59.372290
4.5,6.6,5,10:36:59.401254
5.1,6.0,5,10:36:59.431302
5.1,6.0,5,10:36:59.461869
5.7,4.8,5,10:36:59.491563
5.7,4.8,5,10:36:59.520406
6.2,3.9,5,10:36:59.549766
6.2,3.9,5,10:36:59.576874
6.2,3.9,5,10:36:59.603423
7.1,3.6,5,10:36:59.631781
7.1,3.6,5,10:36:59.658683
7.2,3.2,5,10:36:59.686346
7.2,3.2,5,10:36:59.713141
7.2,2.9,5,10:36:59.744988
7.4,2.9,5,10:36:59.774942
7.4,2.9,5,10:36:59.804539
7.5,3.2,5,10:36:59.833438
7.5,3.2,5,10:36:59.860720
7.0,2.8,5,10:36:59.888063
7.0,2.8,5,10:36:59.915402
6.0,2.3,5,10:36:59.948313
6.0,2.3,5,10:36:59.978455
6.0,2.2,5,10:37:00.011841
5.3,2.2,5,10:37:00.041099
5.3,2.2,5,10:37:00.073170
4.6,2.0,5,10:37:00.103717
4.6,2.0,5,10:37:00.133128
3.7,2.0,5,10:37:00.160593
3.7,2.0,5,10:37:00.187970
3.4,2.3,5,10:37:00.216339
3.4,2.3,5,10:37:00.245823
3.4,2.4,5,10:37:00.276297
3.4,2.4,5,10:37:00.306561
3.4,2.3,5,10:37:00.338038
3.2,2.3,5,10:37:00.365762
3.2,2.3,4,10:37:00.393920
3.0,2.4,4,10:37:00.422659
3.0,2.4,4,10:37:00.450361
3.1,2.3,4,10:37:00.478909
3.1,2.3,4,10:37:00.506719
3.1,2.2,4,10:37:00.535288
3.0,2.2,4,10:37:00.563290
3.0,2.2,4,10:37:00.591450
2.9,2.4,4,10:37:00.621529
2.9,2.4,4,10:37:00.650375
