ir_L,ir_R,degree
16.6,22.8,0.14
12.2,23.9,0.05
7.9,23.8,0.04
9.0,24.7,0.15
11.5,24.9,0.03
9.9,23.7,0.03
8.5,21.1,0.1
11.9,17.0,0.03
17.3,13.9,0.03
21.4,12.7,0.1
27.3,12.4,0.04
31.4,7.3,0.03
33.4,4.9,0.03
35.6,3.6,0.03
35.2,3.0,0.05
31.8,3.2,11.12
28.8,3.2,22.16
27.1,3.3,25.04
24.4,3.1,37.13
22.7,3.2,41.99
22.4,3.3,42.02
22.4,3.3,43.31
23.3,3.4,43.35
24.9,3.6,43.35
27.6,3.6,43.3
29.6,3.3,43.41
30.4,3.4,43.33
29.9,3.5,43.38
30.5,3.7,43.32
30.9,3.7,43.37
31.1,3.7,43.32
30.8,3.5,43.32
30.2,3.6,43.33
30.1,3.8,43.3
30.4,3.9,43.5
30.1,3.9,43.32
30.4,3.7,43.36
31.5,3.7,43.33
31.1,3.9,43.39
30.5,3.9,43.34
30.3,4.0,43.37
30.6,4.1,43.39
31.1,4.1,43.3
31.9,4.0,43.37
31.3,4.1,43.4
30.8,4.2,43.37
31.7,4.5,43.32
31.9,4.6,43.31
32.4,4.3,43.35
32.6,4.4,43.28
32.5,4.6,43.31
32.4,4.8,43.32
32.3,5.1,43.3
32.6,4.9,43.32
33.5,5.0,43.32
37.9,5.2,43.4
39.7,5.4,43.52
39.0,5.6,43.32
41.1,5.5,43.39
41.1,5.7,43.32
41.1,5.9,43.33
40.0,6.1,43.32
38.9,6.3,43.31
40.5,6.6,41.86
40.2,6.8,41.34
39.5,7.1,41.37
39.5,7.0,41.31
41.0,7.3,41.28
36.8,7.7,39.44
35.9,8.0,38.4
35.7,8.4,38.33
35.3,8.7,34.74
33.9,9.4,19.06
32.2,10.4,17.44
27.7,11.3,14.21
24.0,12.1,11.29
18.9,13.3,10.66
11.1,13.7,8.73
7.3,13.3,8.68
5.0,12.9,8.77
4.5,11.9,8.79
6.0,10.6,8.76
5.5,9.9,8.73
5.0,8.8,8.76
5.1,7.9,8.76
7.0,6.4,8.82
8.6,5.6,8.75
11.8,5.2,8.92
13.6,4.2,8.7
15.7,3.5,8.82
17.3,2.7,5.36
18.1,2.5,0.27
18.3,2.5,0.05
18.5,2.8,0.06
17.5,3.1,18.31
16.2,3.3,47.51
16.1,3.2,56.17
16.0,3.1,61.7
16.2,3.2,62.89
16.6,3.2,64.75
16.7,3.3,67.57
16.8,3.3,67.55
17.1,3.1,67.55
17.3,3.1,67.56
17.6,3.2,67.49
17.8,3.2,66.94
17.9,3.2,59.45
18.3,3.2,59.08
18.4,3.2,59.12
18.5,3.1,59.11
18.7,3.1,59.1
18.9,3.1,59.15
19.1,3.1,59.2
19.4,3.1,59.13
19.5,3.2,59.14
19.7,3.1,59.16
19.8,3.1,59.2
19.5,3.1,56.26
19.2,3.1,51.96
19.2,3.2,46.73
19.8,3.2,43.21
20.4,3.2,43.1
21.7,3.2,40.14
22.5,3.2,39.58
22.6,3.3,37.05
23.0,3.4,35.12
23.2,3.6,35.04
23.3,3.5,35.07
23.3,3.6,36.01
23.2,3.7,48.03
23.6,3.7,48.15
23.6,3.8,48.13
24.0,3.8,49.09
24.2,3.8,42.36
24.4,3.8,37.11
24.4,3.9,33.31
24.0,4.0,30.66
23.9,4.2,31.06
23.5,4.3,36.21
24.0,4.5,38.92
23.8,4.5,45.01
24.1,4.5,46.16
24.2,4.6,46.15
24.1,4.7,46.14
