ir1,ir2,degree,time
23.8,3.0,3,09:36:24.025270
23.8,3.0,3,09:36:24.052649
23.8,2.9,3,09:36:24.081397
23.8,2.9,3,09:36:24.107986
23.4,3.0,2,09:36:24.137235
23.4,3.0,2,09:36:24.164591
23.5,3.1,2,09:36:24.192905
23.5,3.1,2,09:36:24.220016
23.5,3.1,2,09:36:24.247020
23.7,3.0,2,09:36:24.276913
23.7,3.0,2,09:36:24.307371
23.5,3.0,2,09:36:24.337911
23.5,3.0,2,09:36:24.368329
23.6,3.2,2,09:36:24.400853
23.6,3.2,2,09:36:24.430819
23.8,3.2,2,09:36:24.461586
23.8,3.2,2,09:36:24.491249
23.6,3.2,2,09:36:24.518604
23.6,3.1,2,09:36:24.546390
23.6,3.1,2,09:36:24.573011
23.2,3.4,2,09:36:24.604582
23.2,3.4,2,09:36:24.634913
22.7,3.2,2,09:36:24.665791
22.7,3.2,2,09:36:24.694177
22.0,3.2,2,09:36:24.722006
22.0,3.2,2,09:36:24.749156
22.0,3.2,2,09:36:24.776829
21.0,3.4,3,09:36:24.808224
21.0,3.4,3,09:36:24.837892
20.3,3.4,3,09:36:24.869257
20.3,3.4,3,09:36:24.897847
19.6,3.3,3,09:36:24.926138
19.6,3.3,3,09:36:24.953170
19.1,3.5,3,09:36:24.982900
19.1,3.5,3,09:36:25.010274
19.1,3.5,3,09:36:25.037448
19.3,3.5,3,09:36:25.065996
19.3,3.5,3,09:36:25.093397
19.2,3.3,3,09:36:25.120724
19.2,3.3,3,09:36:25.148063
19.2,3.3,3,09:36:25.175716
19.1,3.5,3,09:36:25.207150
19.2,3.5,3,09:36:25.237680
19.2,3.5,3,09:36:25.267001
19.2,3.5,3,09:36:25.296031
19.0,3.4,3,09:36:25.325176
19.0,3.4,3,09:36:25.351904
18.8,3.4,3,09:36:25.379327
18.8,3.5,3,09:36:25.406324
18.8,3.5,3,09:36:25.434068
19.0,3.6,3,09:36:25.461193
19.0,3.6,3,09:36:25.489314
19.1,3.5,3,09:36:25.521366
19.1,3.5,3,09:36:25.551704
18.8,3.5,3,09:36:25.582084
18.8,3.6,3,09:36:25.610254
19.0,3.6,3,09:36:25.638392
19.0,3.7,3,09:36:25.665901
19.0,3.7,3,09:36:25.693488
18.9,3.6,3,09:36:25.722022
18.9,3.6,3,09:36:25.749246
18.8,3.6,3,09:36:25.776739
18.8,3.7,3,09:36:25.807134
18.8,3.7,3,09:36:25.837132
18.8,3.8,3,09:36:25.868655
18.8,3.8,3,09:36:25.898411
18.8,3.7,3,09:36:25.926058
18.8,3.7,3,09:36:25.953920
18.7,3.8,3,09:36:25.982475
18.7,3.8,3,09:36:26.009611
18.7,3.8,3,09:36:26.037421
18.7,3.9,3,09:36:26.065352
18.7,3.9,3,09:36:26.092940
18.6,3.8,3,09:36:26.121855
18.6,3.8,3,09:36:26.148970
18.6,3.7,3,09:36:26.177223
18.6,3.7,3,09:36:26.207254
18.6,4.0,3,09:36:26.237695
18.6,4.0,3,09:36:26.268037
18.6,4.0,3,09:36:26.298310
18.7,3.8,3,09:36:26.327250
18.7,3.8,3,09:36:26.356203
18.7,3.8,3,09:36:26.383741
18.7,3.8,3,09:36:26.413387
18.7,4.1,3,09:36:26.444687
18.7,4.1,3,09:36:26.474663
18.6,4.1,3,09:36:26.503251
18.6,4.0,3,09:36:26.532042
18.5,4.0,3,09:36:26.560258
18.5,3.9,3,09:36:26.588231
18.5,3.9,3,09:36:26.615555
18.5,4.2,3,09:36:26.643578
18.5,4.2,3,09:36:26.670904
18.6,4.2,3,09:36:26.697992
18.6,4.1,3,09:36:26.725129
18.6,4.1,3,09:36:26.752207
18.5,4.0,3,09:36:26.780762
18.5,4.0,3,09:36:26.811165
18.3,4.2,4,09:36:26.843268
18.3,4.2,4,09:36:26.875274
18.3,4.2,4,09:36:26.904764
18.3,4.2,4,09:36:26.932245
18.2,4.2,4,09:36:26.961501
18.2,4.1,4,09:36:26.988667
18.2,4.1,4,09:36:27.017272
18.1,4.3,3,09:36:27.044881
18.1,4.3,3,09:36:27.072202
18.5,4.3,3,09:36:27.099704
18.5,4.3,3,09:36:27.126992
18.2,4.3,3,09:36:27.154829
18.2,4.2,3,09:36:27.181804
18.2,4.2,3,09:36:27.211670
17.8,4.2,3,09:36:27.242660
17.8,4.2,3,09:36:27.272494
18.1,4.3,3,09:36:27.303790
18.1,4.3,3,09:36:27.332005
17.9,4.3,3,09:36:27.359164
17.9,4.2,3,09:36:27.386111
17.9,4.2,3,09:36:27.417277
17.9,4.3,3,09:36:27.447060
17.9,4.3,3,09:36:27.477482
17.9,4.4,3,09:36:27.507093
17.9,4.4,3,09:36:27.534553
17.9,4.4,3,09:36:27.561786
