ir_L,ir_R,degree
2.5,7.6,21.08
2.4,6.6,21.15
2.2,6.2,21.07
2.2,5.6,21.04
2.2,5.5,21.07
2.3,5.6,21.0
2.3,5.6,21.05
2.2,5.9,21.05
2.2,6.2,21.03
2.3,6.5,21.14
2.3,6.7,21.09
2.3,7.3,21.09
2.3,7.9,21.06
2.3,8.8,21.05
2.3,9.4,21.01
2.5,10.5,21.15
2.6,10.8,20.98
2.4,12.0,21.04
2.5,12.7,21.06
2.7,13.5,21.04
2.8,14.8,21.0
2.9,15.5,8.86
3.0,16.5,8.55
3.0,16.8,7.17
3.2,16.8,0.11
3.5,15.9,0.23
3.2,13.8,0.03
3.2,13.7,0.08
3.2,11.8,0.04
3.0,11.0,0.1
3.1,9.0,0.03
2.9,7.8,0.11
2.5,6.4,0.1
2.3,5.8,0.08
2.3,5.2,0.06
2.1,5.1,10.77
1.7,4.6,30.68
1.6,4.5,38.75
1.7,4.5,43.81
1.8,4.6,44.74
2.1,4.5,38.27
2.1,4.6,38.15
1.7,4.7,28.31
1.7,4.8,18.49
2.0,4.9,12.45
2.0,5.1,5.73
1.6,5.1,2.28
1.7,5.9,2.06
1.9,7.7,2.0
2.2,12.0,2.1
2.4,13.0,2.19
1.8,14.4,2.09
1.9,15.3,2.26
2.1,16.2,2.18
2.3,16.3,2.35
2.5,15.5,2.12
2.0,14.8,2.15
2.1,13.8,4.98
2.3,13.4,23.92
2.6,12.3,40.17
2.8,12.1,41.25
2.3,12.4,41.29
2.3,13.0,41.16
2.3,13.3,24.89
2.4,13.8,22.95
2.6,14.0,18.3
2.2,13.7,18.3
2.2,13.6,18.27
2.4,12.8,16.1
2.6,11.8,16.18
2.5,10.5,16.13
2.9,9.9,16.15
3.2,9.1,16.13
3.7,8.4,21.97
4.3,7.5,23.69
5.1,7.1,23.63
5.1,6.7,23.68
5.6,6.6,28.85
5.9,6.4,35.79
5.9,6.0,35.9
5.6,6.0,35.9
5.6,6.0,48.35
5.3,6.1,59.76
4.0,6.0,64.2
3.3,6.2,68.5
2.6,6.6,68.46
2.3,7.1,60.02
2.4,7.7,55.82
2.4,7.7,55.81
2.3,7.9,55.66
2.3,8.2,49.99
2.3,8.5,49.75
2.4,8.7,47.58
2.5,8.9,45.85
2.5,9.2,40.93
2.4,9.4,35.17
2.4,9.5,31.17
2.6,9.2,28.66
2.5,8.8,28.65
2.4,8.5,28.69
2.4,8.4,28.66
2.4,8.3,28.8
2.4,8.0,28.77
2.5,7.6,24.31
2.5,7.1,22.15
2.4,7.1,22.12
2.4,6.6,22.23
2.4,6.0,22.25
2.4,5.5,22.12
2.2,5.4,22.19
2.3,5.2,22.09
2.3,5.1,22.19
2.3,5.1,17.09
2.3,5.1,12.91
2.2,5.4,12.8
2.2,5.8,9.7
2.4,6.3,9.38
2.4,6.3,9.37
2.3,7.1,9.49
2.3,7.8,9.54
2.4,9.0,9.36
2.5,9.5,9.3
2.6,10.5,9.59
2.8,10.8,9.55
2.8,11.5,9.4
3.1,12.0,9.4
3.3,11.8,9.38
3.6,11.3,9.39
3.4,11.3,9.39
3.5,12.9,9.36
3.6,13.3,9.36
3.5,12.6,9.38
3.4,11.7,9.36
3.3,10.3,9.4
3.1,9.4,9.39
3.2,8.3,9.44
3.0,7.5,9.65
2.8,6.6,38.09
2.7,6.2,45.88
2.9,6.2,45.97
3.0,6.4,45.95
3.0,6.6,35.94
3.1,6.6,20.8
3.1,6.4,0.19
3.0,6.2,0.02
3.0,5.8,0.04
2.8,5.7,0.04
2.4,5.0,0.1
2.1,5.1,0.06
2.1,5.7,0.14
1.9,5.8,0.06
1.9,5.9,0.03
1.9,9.3,0.09
2.1,14.0,0.03
2.3,17.6,0.11
2.4,18.4,0.05
2.3,18.4,0.03
2.3,17.7,10.34
2.4,16.4,29.72
2.8,15.8,30.66
3.0,15.5,30.55
3.1,15.4,33.69
3.0,15.3,36.46
3.1,15.7,36.61
3.0,16.0,36.49
3.0,16.6,36.46
3.0,17.1,36.42
2.8,17.4,38.86
2.8,17.8,41.8
2.8,18.6,41.79
2.8,19.0,46.69
2.6,19.8,54.7
2.5,20.7,53.97
2.6,22.2,22.01
2.5,22.6,20.65
2.7,21.0,13.21
2.8,20.1,12.4
3.0,18.6,18.03
3.7,17.5,33.13
4.2,16.0,44.97
4.3,16.0,47.88
3.9,16.9,47.9
3.6,17.6,47.97
3.4,18.6,44.34
3.1,19.1,38.03
3.1,19.7,34.95
3.0,20.1,33.7
2.8,19.7,33.75
2.7,19.0,33.69
2.8,18.8,33.8
2.7,18.5,33.71
2.6,18.1,33.82
2.5,18.0,33.71
2.5,18.0,33.79
2.5,17.4,33.74
2.6,17.0,33.94
2.4,16.7,33.86
2.4,16.5,33.86
2.5,16.1,33.81
2.5,15.9,33.84
2.5,15.4,33.85
2.6,15.2,33.82
2.4,15.0,33.93
2.4,14.8,33.82
2.5,14.4,33.84
2.5,13.8,33.84
2.4,13.3,33.53
2.4,12.5,33.36
2.4,12.4,33.41
2.4,11.7,33.39
2.5,11.3,33.43
2.5,11.0,33.35
2.3,11.0,33.46
