ir_L,ir_R,degree
8.9,13.6,21.44
9.4,15.0,22.02
9.5,15.8,22.88
9.0,16.7,26.37
8.5,17.0,29.84
8.9,17.6,30.48
10.9,17.9,33.73
12.9,18.2,36.49
16.6,18.4,38.27
18.4,18.7,39.68
19.5,18.8,41.29
19.7,19.0,41.31
22.0,19.1,41.29
25.4,19.2,41.22
29.3,19.2,41.25
31.4,19.1,41.14
33.0,19.2,41.09
33.3,19.4,41.09
33.3,19.3,41.28
33.4,19.1,42.45
33.7,18.5,42.48
33.6,16.4,42.94
34.5,14.7,43.6
34.1,13.6,44.29
34.2,13.4,47.84
34.4,14.1,53.37
33.7,15.6,55.87
33.6,16.1,56.18
33.4,16.8,54.2
33.5,17.3,52.09
33.1,17.3,50.49
33.3,17.5,50.47
32.8,17.9,48.65
32.5,17.8,48.67
32.5,17.7,48.68
31.5,17.2,48.7
31.0,16.1,48.72
30.7,15.4,48.57
29.4,14.5,48.59
29.0,14.4,48.55
28.3,14.5,48.58
27.7,15.0,48.52
28.3,16.2,48.52
28.4,16.7,48.61
28.2,17.5,48.56
27.8,18.2,48.63
26.8,18.8,48.83
27.2,19.4,48.7
27.8,19.5,48.86
27.8,19.2,48.87
27.1,18.5,48.76
25.8,17.7,48.77
20.1,17.0,48.8
14.5,16.0,48.75
8.2,15.7,48.77
5.6,16.8,45.96
4.0,17.1,43.07
3.7,16.5,40.19
3.3,16.3,38.94
3.2,16.4,37.9
3.2,15.6,37.92
3.2,14.8,38.05
3.2,14.0,37.91
3.1,14.2,36.22
3.0,14.0,35.54
3.0,12.0,32.65
3.0,11.0,32.06
3.0,10.3,31.99
2.9,9.8,32.03
2.9,9.2,32.14
3.0,8.4,32.02
3.0,7.8,30.9
3.1,6.9,30.65
3.1,6.2,30.48
3.1,5.0,30.63
3.1,4.4,30.57
3.2,3.8,29.69
3.4,3.5,29.29
3.4,3.3,27.93
3.6,3.4,27.76
3.8,3.7,27.81
4.0,3.6,27.76
4.1,3.5,24.99
4.3,3.5,24.51
4.4,3.6,23.37
4.8,3.8,22.42
5.3,4.5,22.22
6.0,5.0,22.1
6.2,5.5,22.31
6.7,5.8,22.14
7.0,6.5,19.85
7.5,6.9,19.67
8.1,7.5,19.81
8.4,7.3,19.81
9.2,6.3,19.8
10.0,5.4,19.8
10.8,5.3,19.84
11.1,4.9,21.53
11.9,5.6,27.49
